"","PointID","Year","Herb_hits","Herb_height","Woody_hits","Woody_height","Bare","Wrack","Tree","Snag","Juncus","Cladium","Typha","SpartinaPatens","Phragmites","Scirpus","Distichlis","Andropogon","Shrub.Woody","PointYr"
"24","014",2017,5.75,1.2,0,0,2,0,6.5,6,0,6.5,0,1,0,1,0,0,1.5,"014.2017"
"25","015",2016,6.95,1.155,0.15,1.7,0,1,0,5,0,10,0,0,0,0,0,0,0,"015.2016"
"26","015",2017,8,1.315,0,0,4.5,0,0.5,3,0,10,0,0,0,0,0,0,0,"015.2017"
"27","016",2016,3,0.843333333333333,0,0,4.66666666666667,0,0,1,2.33333333333333,4.66666666666667,0.333333333333333,0.666666666666667,0,0,2,0,0,"016.2016"
"28","016",2017,3.85,0.775,0,0,10,0,0,0,1.5,4,0,0.5,0,1.5,1,0,0,"016.2017"
"29","019",2016,9.2,1.31,0.5,0.5,1,0,0,0,4,4.5,0,0,0,1.5,0,0,0,"019.2016"
"30","019",2017,8.45,1.395,0.9,0.47,0,0,0.5,0,0,10,0,0,0,0,0,0,0,"019.2017"
"31","025",2016,3.35,0.735,1.5,0.15,0,1,2,4,0,0,2.5,2,3,1.5,1,0,0,"025.2016"
"32","025",2017,2.04333333333333,0.833333333333333,0.94,1.30033333333333,6,0,5.33333333333333,6.33333333333333,0,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,1.33333333333333,0,5.66666666666667,"025.2017"
"33","028",2016,5.33333333333333,0.83,0.766666666666667,0.166666666666667,1.33333333333333,0,0,0.666666666666667,0,1.33333333333333,0,3.33333333333333,0,5,0,0,0.333333333333333,"028.2016"
"34","028",2017,2.8,0.62,0.1,0,0,2,0,1.5,0,1.5,0,0.5,0.5,6.5,1,0,0,"028.2017"
"35","029",2016,6.6,1.05,3,0.55,3,0,0.5,0.5,5,4,0,1,0,0,0,0,0,"029.2016"
"36","029",2017,6.5,1.225,0.15,0.59,5.5,0,0,3,1.5,8,0,0,0,0,0,0,0,"029.2017"
"37","030",2016,2.1,0.675,0.05,1,1.5,0,0,20,0,0,0,0,0,3.5,0.5,0,0,"030.2016"
"38","030",2017,4.2,1.20333333333333,0.666666666666667,1.31916666666667,8.33333333333333,1.33333333333333,2.66666666666667,8,0,2,0,0,0,0.333333333333333,0,0.666666666666667,6.66666666666667,"030.2017"
"39","033",2016,6.7,1.065,0,0,3,0,0,0.5,0,8.5,0,0.5,0,0,1,0,0,"033.2016"
"40","033",2017,5.15,0.92,0,0,5,0.5,0,0,4.5,0,0,0,0.5,1.5,3,0,0,"033.2017"
"41","034",2016,1.83333333333333,0.51,0.0666666666666667,0.0666666666666667,5,0,0,0,0,0,0,2,0,5.33333333333333,2.66666666666667,0,0,"034.2016"
"42","034",2017,5.7,0.595,0,0,8.5,0.5,0,1.5,0,3.5,0,2,0,2,2.5,0,0,"034.2017"
"43","035",2016,2.53333333333333,0.286666666666667,0,0,0,0,0,0,0,0,0,3.66666666666667,0,0,6.33333333333333,0,0,"035.2016"
"44","035",2017,3.1,0.4,0,0,7.5,0,0,0.5,0,0,0,2,0,0,8,0,0,"035.2017"
"45","036",2016,1.96666666666667,0.496666666666667,0,0,3,0,0,0.333333333333333,0,0,0,0,0,5,5,0,0,"036.2016"
"46","036",2017,1.2,0.36,0,0,10,0,0,1.5,0.5,0,0,0,0,5,4.5,0,0,"036.2017"
"47","037",2016,9.3,1.435,0.65,0.9666666665,1,2,4.5,4.5,0,9.5,0,0,0,0,0,0,0.5,"037.2016"
"48","037",2017,9.65,1.485,0.05,0.55,2,0,3,0.5,0,10,0,0,0,0,0,0,0,"037.2017"
"49","038",2016,10.3666666666667,1.30333333333333,0.9,1.593888889,0.333333333333333,1.66666666666667,0.333333333333333,0,0,9,0,0,0,0,0,0,1,"038.2016"
"50","038",2017,8.33333333333333,1.45,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,"038.2017"
"51","039",2016,10.8,1.71,0.85,1.075,1,0.5,4.5,3.5,0,2,0,0,4.5,0,0,0,3.5,"039.2016"
"52","039",2017,6.05,1.5,0,0,0,0,4.5,1,0,0.5,0,0,9.5,0,0,0,0,"039.2017"
"53","040",2016,10.25,1.325,0.8,1.1166666665,0,2.5,3,3,0,9.5,0,0,0,0,0,0,0.5,"040.2016"
"54","040",2017,10.35,1.485,0,0,0,0,1.5,4,0,9,0,0,1,0,0,0,0,"040.2017"
"55","042",2016,9.8,1.29333333333333,0.3,1.38,0.666666666666667,1,0.666666666666667,3,2,7,0,0,0,1,0,0,0,"042.2016"
"56","042",2017,5.7,1.30666666666667,0,0,3.66666666666667,0,0.666666666666667,1.66666666666667,2.66666666666667,5.66666666666667,0,0,0,1.66666666666667,0,0,0,"042.2017"
"57","045",2016,8.1,1.40666666666667,1.33333333333333,0.166666666666667,1.66666666666667,0,2.33333333333333,2,0,7.33333333333333,0,0,2.66666666666667,0,0,0,0,"045.2016"
"58","045",2017,3.145,1.25,0,0,0,4,2.5,1.5,0,1.5,3.5,0,2,0,0,0,1,"045.2017"
"59","046",2016,8.96666666666667,1.18666666666667,0.366666666666667,0.7,0.333333333333333,0,2.33333333333333,3.33333333333333,0,9,1,0,0,0,0,0,0,"046.2016"
"60","046",2017,7.65,1.44,0,0,1,1.5,3.5,8,0,10,0,0,0,0,0,0,0,"046.2017"
"61","047",2016,8,1.18666666666667,0.933333333333333,0.622222222333333,0.666666666666667,1,3.66666666666667,3,0,9.33333333333333,0.666666666666667,0,0,0,0,0,0,"047.2016"
"62","047",2017,6.55,1.42,0,0,0,3,8.5,4,0,10,0,0,0,0,0,0,0,"047.2017"
"63","048",2016,7.46666666666667,1.18,1.66666666666667,0.722222222333333,1.33333333333333,1.33333333333333,4.33333333333333,2.66666666666667,0,8.66666666666667,0,0,0,0,0,0,1.33333333333333,"048.2016"
"64","048",2017,6.75,1.38,0.05,0.75,1,2.5,8,1,0,10,0,0,0,0,0,0,0,"048.2017"
"65","056",2016,7.95,1.135,0.45,0.25,2,0.5,4,4.5,0,3,7,0,0,0,0,0,0,"056.2016"
"66","056",2017,5.25,1.405,0,0,6.5,0,4,0.5,0,5.5,3.5,0,0.5,0,0,0,0,"056.2017"
"67","057",2016,7,1.36,0.3,1.15,1,0.333333333333333,0.333333333333333,0,0,1.33333333333333,7.33333333333333,0,1.33333333333333,0,0,0,0,"057.2016"
"68","057",2017,6.5,1.47,0,0,0.5,0,0,0,0,0,10,0,0,0,0,0,0,"057.2017"
"69","058",2016,9,1.38666666666667,0.0333333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,7.66666666666667,0,0.666666666666667,9.33333333333333,0,0,0,0,0,0,"058.2016"
"70","058",2017,5.4,1.5,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,"058.2017"
"71","059",2016,6.35,1.31,0.15,0.95,0.5,0,0,1,0,0.5,9,0,0.5,0,0,0,0,"059.2016"
"72","060",2016,7.4,1.11,0,0,0.5,2.5,3,2,0,1,9,0,0,0,0,0,0,"060.2016"
"73","060",2017,6.1,1.255,0,0,0.5,0,0,0,0.5,0.5,9,0,0,0,0,0,0,"060.2017"
"74","061",2016,7.1,1.21,0.15,1.4,1,0,0,0,0,2,8,0,0,0,0,0,0,"061.2016"
"75","062",2016,8.2,1.33,0,0,2,0,6,5,0,0,6,0,4,0,0,0,0,"062.2016"
"76","062",2017,4.95,1.275,0,0,0,0,0,0,0.5,0.5,8,0,1,0,0,0,0,"062.2017"
"77","063",2016,4.76666666666667,0.996666666666667,2.73333333333333,0.93,1,1,1.33333333333333,3.66666666666667,0,0.666666666666667,0.333333333333333,1,0,0,0,6.66666666666667,1.33333333333333,"063.2016"
"78","063",2017,4.85,0.89,0,0,5.5,0,6,0,0,4,0,3,0,1,0,2,0,"063.2017"
"79","065",2016,4.6,0.76,1,0.325,3.33333333333333,0,0.333333333333333,3,0,0.333333333333333,1.66666666666667,2.33333333333333,0,0,0,3,2.33333333333333,"065.2016"
"80","065",2017,4.8,0.875,0,0,4.5,1,1,0.5,0,0,1,6,1,0,0,2,0,"065.2017"
"81","066",2016,6.03333333333333,0.77,0,0,0.666666666666667,2.33333333333333,3,4,0,3.66666666666667,0,6.33333333333333,0,0,0,0,0,"066.2016"
"82","066",2017,6.4,0.88,0.3,1.2,0,4,0.5,0,0,3,0,7,0,0,0,0,0,"066.2017"
"83","067",2016,8.3,1.825,0.075,0.125,0.25,0.75,0,0,0,0,0,0,10,0,0,0,0,"067.2016"
"84","067",2017,2.3,0.923333333333333,0,0,0.333333333333333,0,0,1,0,0,0,0.666666666666667,8.33333333333333,1,0,0,0,"067.2017"
"85","068",2016,8.7,1.615,0.175,0.75,0,1,0,0,0,0,0,0.5,9,0,0,0,0.5,"068.2016"
"86","068",2017,1.95,0.935,0,0,0,0.5,0,0,0,0,0,0,9.5,0.5,0,0,0,"068.2017"
"87","069",2016,6.73333333333333,1.00333333333333,0,0,1,0.333333333333333,0,0,6.66666666666667,0,0,0,0,0,0,0,0,"069.2016"
"88","069",2017,6.45,1.23,0,0,1.5,0.5,0,0.5,9.5,0,0,0.5,0,0,0,0,0,"069.2017"
"89","070",2016,8.83333333333333,1.02333333333333,0,0,0,0,0,0,9.33333333333333,0,0,0.666666666666667,0,0,0,0,0,"070.2016"
"90","070",2017,6.9,1.32,0,0,3.5,0.5,0,0,10,0,0,0,0,0,0,0,0,"070.2017"
"91","071",2016,7.94,1.092,0,0,1,0.8,0,0,10,0,0,0,0,0,0,0,0,"071.2016"
"92","071",2017,5.93333333333333,1.32666666666667,0,0,4.66666666666667,0.333333333333333,0,0,9.66666666666667,0,0,0,0,0,0,0,0,"071.2017"
"93","072",2016,8.8,1.12,0,0,0.333333333333333,2.33333333333333,0,0,10,0,0,0,0,0,0,0,0,"072.2016"
"94","072",2017,5.3,1.31,0,0,6.33333333333333,1.33333333333333,0,0,10,0,0,0,0,0,0,0,0,"072.2017"
"95","073",2016,9.5,1.17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"073.2016"
"96","073",2017,6,1.36,0,0,0,0.333333333333333,0,0,10,0,0,0,0,0,0,0,0,"073.2017"
"97","074",2016,8.3,1.15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"074.2016"
"98","074",2017,6,1.465,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"074.2017"
"99","075",2016,1.83,0.663333333333333,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,"075.2016"
"100","075",2017,4.5,1,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,"075.2017"
"101","076",2016,7.96666666666667,1.24333333333333,0,0,0.333333333333333,3.66666666666667,0,0,10,0,0,0,0,0,0,0,0,"076.2016"
"102","076",2017,3.1,0.855,0,0,0.5,1,0,0,10,0,0,0,0,0,0,0,0,"076.2017"
"103","077",2016,8.3,1.22333333333333,0,0,0.666666666666667,1.66666666666667,0,0,10,0,0,0,0,0,0,0,0,"077.2016"
"104","077",2017,2.9,3.85,0,0,2.5,0,0,0,10,0,0,0,0,0,0,0,0,"077.2017"
"105","078",2016,10.5666666666667,1.28,0,0,0.333333333333333,1.33333333333333,0,0,10,0,0,0,0,0,0,0,0,"078.2016"
"106","078",2017,7.9,1.46,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,"078.2017"
"107","079",2016,8.83333333333333,1.32666666666667,0.366666666666667,1.08333333333333,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,2.66666666666667,6,0,0,0,1.33333333333333,0,0,0,"079.2016"
"108","079",2017,4.73333333333333,1.27333333333333,0,0,6,0.333333333333333,0,0,3,5.66666666666667,0,0,0,1.33333333333333,0,0,0,"079.2017"
"109","080",2016,9.26666666666667,1.40666666666667,0,0,0.666666666666667,1.33333333333333,0,0,8.66666666666667,1,0,0,0.333333333333333,0,0,0,0,"080.2016"
"110","080",2017,6.8,1.47333333333333,0,0,3.33333333333333,0,0,0,6.33333333333333,1.33333333333333,0,0,0.666666666666667,0,0,0,0,"080.2017"
"111","081",2016,8.15,1.22,0,0,2,0,0,0.5,0,6.5,0,0,1.5,1,1,0,0,"081.2016"
"112","081",2017,7.065,1.085,4,0.625,5.5,0,0,0,1.5,1.5,0,0,0,3.5,2,0,1,"081.2017"
"113","082",2016,6.3,1.48666666666667,0.933333333333333,0.444444444666667,0.333333333333333,2,0,2,1.66666666666667,6,0.666666666666667,0,1.33333333333333,0.333333333333333,0,0,0,"082.2016"
"114","082",2017,7.75,1.48,0,0,3.5,2.5,0,0.5,3,2,1,0,1,3,0,0,0,"082.2017"
"115","083",2016,12.8666666666667,1.39,0.133333333333333,0.966666666666667,0.333333333333333,0,0,0,0,9.33333333333333,0,0.666666666666667,0,0,0,0,0,"083.2016"
"116","083",2017,9.7,1.47,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,"083.2017"
"117","084",2016,6.05,0.875,0,0,1,1.5,0,0,6,0,1,1,0,1,1,0,0,"084.2016"
"118","084",2017,4.65,0.95,0,0,2,0.5,0,0,5,0,0,3.5,0.5,0,1,0,0,"084.2017"
"119","085",2016,7.55,0.925,0,0,1,0.5,0,0,8.5,0,0,0,0,0.5,1,0,0,"085.2016"
"120","085",2017,5.4,1.205,0,0,2,0,0,0,7.5,0,0,0,0,2,0.5,0,0,"085.2017"
"121","086",2016,10.2,1.45333333333333,0,0,0.666666666666667,3,0,0.333333333333333,8.33333333333333,1.33333333333333,0,0,0.333333333333333,0,0,0,0,"086.2016"
"122","086",2017,7.86666666666667,1.46333333333333,0,0,2.66666666666667,0.333333333333333,0,0.333333333333333,9.33333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,"086.2017"
"123","087",2016,6.9,1.005,0,0,1.5,0.5,2,2,0,4,0,0,1.5,4.5,0,0,0,"087.2016"
"124","087",2017,5.05,1.265,0,0,2,0,0,0,0,2,4,0,0,4,0,0,0,"087.2017"
"125","089",2016,6,0.6,0.25,0.35,0.5,0,0,2.5,2.5,0,0,4,0,0,2.5,0,1,"089.2016"
"126","089",2017,5.05,0.715,0,0,2.5,0,0,1,2,0,0,8,0,0,0,0,0,"089.2017"
"127","091",2016,7.3,0.8,0.05,0.1,0,1,0,0,5.5,0,0,2,0,0,2.5,0,0,"091.2016"
"128","091",2017,7.55,1.15,0,0,0,1.5,0,0,7,0,0,3,0,0,0,0,0,"091.2017"
"129","092",2016,6.9,0.94,0,0,1.5,1.5,0,0,5.5,0,0,2.5,0,1.5,0.5,0,0,"092.2016"
"130","092",2017,6,0.805,0,0,4.5,0,0,0,4.5,0,0,4.5,0,0.5,0.5,0,0,"092.2017"
"131","093",2016,7.2,0.965,0.2,0.75,0.5,0.5,0,0,4.5,0,0,3,2,0,0,0,0.5,"093.2016"
"132","093",2017,7.2,1.305,0,0,0,0,0,0,6.5,0,0,1,2,0,5.5,0,0,"093.2017"
"133","098",2016,6.76666666666667,0.836666666666667,0.366666666666667,0.466666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1.33333333333333,0,0,2.66666666666667,0,4.33333333333333,1,0,0.666666666666667,"098.2016"
"134","098",2017,4.85,0.785,0,0,0,0.5,0,0,0.5,0,0,5.5,0,3,0.5,0,0.5,"098.2017"
"135","099",2016,6.93333333333333,0.876666666666667,0.366666666666667,0.283333333333333,0.666666666666667,1,1,0.333333333333333,5.33333333333333,0,0,2.66666666666667,0,0,2,0,0,"099.2016"
"136","099",2017,4.85,0.69,0.2,0.725,0.5,0,0,0,0.5,0,0,7.5,0,1.5,0.5,0,0,"099.2017"
"137","100",2016,5.66666666666667,0.79,0.4,0.666666666666667,1.66666666666667,1,0.333333333333333,0.666666666666667,2.66666666666667,0.333333333333333,0,4,0,1.33333333333333,1,0,0.666666666666667,"100.2016"
"138","100",2017,4.2,0.735,0,0,2.5,0,0,0,0,0,0,6,0,2.5,1,0,0,"100.2017"
"139","101",2016,6.66666666666667,1.01666666666667,0.133333333333333,0.5,2.66666666666667,0.666666666666667,0,0,7.33333333333333,0,0,1.66666666666667,0,0,0.666666666666667,0,0.333333333333333,"101.2016"
"140","101",2017,5.85,1.385,0,0,8,1,0,0,9,0,0,0,0,1,0,0,0,"101.2017"
"141","107",2016,8.3,1.35,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,"107.2016"
"142","107",2017,5.7,1.185,0,0,3,2,0,0,7,0,0,2.5,0,0.5,0,0,0,"107.2017"
"143","108",2016,7.45,1.13,0,0,1.5,0.5,1,0.5,8.5,0,0,0.5,1,0,0,0,0,"108.2016"
"144","108",2017,6.75,1.33,0,0,4.5,0,0,0,7,0,0,0,2.5,0,0,0,0,"108.2017"
"145","109",2016,6.83333333333333,1.33666666666667,0,0,1.66666666666667,0.333333333333333,0,0.333333333333333,6.66666666666667,0,0,0,3,0.333333333333333,0,0,0,"109.2016"
"146","109",2017,7,1.49,0,0,7.5,0.5,0,0,5,0,0,0,4.5,0.5,0,0,0,"109.2017"
"147","111",2016,10.3,1.22,0,0,0,0,0,0,9,0,0,0.5,0,0.5,0,0,0,"111.2016"
"148","111",2017,5.95,1.31,0,0,2,0,0,0,8.5,0,0,0,0,0,1.5,0,0,"111.2017"
"149","112",2016,8.1,1.16333333333333,0,0,0.666666666666667,3,0,0,9.33333333333333,0,0,0,0,0.666666666666667,0,0,0,"112.2016"
"150","112",2017,7.35,1.33,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,"112.2017"
"151","113",2016,6.73333333333333,1.11666666666667,0,0,0.666666666666667,0,0,0,0.666666666666667,3.33333333333333,0,0,0,6,0,0,0,"113.2016"
"152","113",2017,5,1.34666666666667,0,0,2.33333333333333,0,0,0,3,2.33333333333333,0,0,1.66666666666667,3,0,0,0,"113.2017"
"153","114",2016,7.53333333333333,1.09,0,0,0.333333333333333,0,0,0,5,1,0,0,0,4,0,0,0,"114.2016"
"154","114",2017,6.53333333333333,1.23666666666667,0,0,1.66666666666667,2,0,0,6,2.33333333333333,0,0,0,1.33333333333333,0.333333333333333,0,0,"114.2017"
"155","115",2016,7.96666666666667,1.09,0,0,0.666666666666667,0,0,0,2,3.33333333333333,0.666666666666667,0,0,4,0,0,0,"115.2016"
"156","115",2017,5.16666666666667,1.25333333333333,0,0,0,0,0,0,3.66666666666667,2,0,0,0,4.33333333333333,0,0,0,"115.2017"
"157","117",2016,7.6,1.02666666666667,0,0,0,0,0,0,1.33333333333333,1.66666666666667,2,0,0,5,0,0,0,"117.2016"
"158","117",2017,2.35,0.893333333333333,0,0,0.666666666666667,0,0,0,0.333333333333333,0,2,0,0.333333333333333,7.33333333333333,0,0,0,"117.2017"
"159","118",2016,8.25,1.5,0,0,0,0.5,0,0,0,0,0,0,10,0,0,0,0,"118.2016"
"160","118",2017,6.15,1.415,0.05,0.75,0,0,2,0,0,0,0,0,9,0.5,0,0,0,"118.2017"
"161","119",2016,8.85,1.115,0.15,0.1,0.5,2.5,1.5,2.5,6,3,0,0,0,0,0,0,1,"119.2016"
"162","119",2017,7.6,1.46,0,0,0.5,1,0,0,6.5,0,1.5,0,1,1,0,0,0,"119.2017"
"163","120",2016,9.75,1.275,0,0,0,0.5,1,1,2,0,0,0,4.5,2.5,0,0,1,"120.2016"
"164","120",2017,5.3,1.14,0,0,0.5,0,0,0,1,0,0.5,2,2,4.5,0,0,0,"120.2017"
"165","121",2016,8.4,1.04,0.45,1.025,0.5,2,1.5,0.5,0,9,0,0,0,0,0,0,1,"121.2016"
"166","121",2017,6.15,1.105,0.45,0.35,0,1,0,0,3.5,5.5,0,0,0,0,0,0,1,"121.2017"
"167","122",2016,10.4,1.13,0.3,0.5,1,1,1,1,0,8,1,0,1,0,0,0,0,"122.2016"
"168","122",2017,10.9,1.5,0,0,0,0,0,0,0,7,2.5,0,0,0.5,0,0,0,"122.2017"
"169","123",2016,9.5,1.275,0.25,0.3,0,0,0,3.5,6,0.5,1,1,1,0.5,0,0,0,"123.2016"
"170","123",2017,8.25,1.405,0.15,0.75,0,0,0,0,3,0,4,0,0.5,0.5,0,0,0,"123.2017"
"171","124",2016,8.45,1,0.8,1.1583333335,0,0.5,1,5,5.5,0.5,0,3,0,1,0,0,0,"124.2016"
"172","124",2017,7.85,1.255,0,0,0,0,0,0,5.5,0,0.5,1.5,0,2,0.5,0,0,"124.2017"
"173","125",2016,7.95,1.11,0,0,0.5,0,0,1,3,1.5,3,1,0,0.5,1,0,0,"125.2016"
"174","125",2017,10.45,1.415,0,0,0,2,0,0,2.5,1.5,2.5,0,0,3.5,0,0,0,"125.2017"
"175","130",2016,4.1,1.15,0.1,0.5,1.33333333333333,0.333333333333333,0,0,0.666666666666667,8.33333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333,"130.2016"
"176","130",2017,5.33333333333333,1.08666666666667,0,0,7.33333333333333,0.333333333333333,0,0.333333333333333,0,7.66666666666667,0,0.666666666666667,0,0,1.66666666666667,0,0,"130.2017"
"177","131",2016,2.26666666666667,0.413333333333333,0,0,1.66666666666667,0,0,0.666666666666667,1.66666666666667,0,0,2,0,1.66666666666667,4.33333333333333,0,0,"131.2016"
"178","131",2017,3.6,0.95,0,0,9.66666666666667,0,0,0.333333333333333,1.33333333333333,7.66666666666667,0,0.333333333333333,0,0.666666666666667,0,0,0,"131.2017"
"179","132",2016,1.56666666666667,0.253333333333333,0,0,2,0,0,0,0.333333333333333,0,0,1,0,0,7.66666666666667,0,0,"132.2016"
"180","132",2017,2.06666666666667,0.363333333333333,0,0,1.33333333333333,0,0,1,0.666666666666667,0.333333333333333,0,0,0,0,9,0,0,"132.2017"
"181","133",2016,2.36666666666667,0.486666666666667,0,0,1.33333333333333,0.333333333333333,0,0,2.33333333333333,0,0,1.33333333333333,0,0.333333333333333,3.66666666666667,0,0,"133.2016"
"182","133",2017,3.33333333333333,0.56,0,0,1.33333333333333,0,0,0,1.33333333333333,0,0,1.33333333333333,0,2.33333333333333,5,0,0,"133.2017"
