Observer,Date,Time,Visit,foot_boat,Property,PointID,X-coord,Y_coord,Wind,Noise,Species,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Notes
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,KCRA,,,,,1,,,,,,
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,SESP,,,,,,,,,,1,
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,KCRA,,,,,,,,,,1,
G. Loia,5/4/2017,7:08,1,Foot,Gull Rock,8,,,4,3,KCRA,,,,,1,,,,,,
A. VanVorst,6/16/2017,6:42,2,Foot,Gull Rock,8,,,1,1,NONE,,,,,,,,,,,
G. Loia,5/3/2017,6:36,1,Foot,Swantquarter,9,,,0,0,NONE,,,,,,,,,,,
G. Loia,6/12/2017,6:18,2,Foot,Swanquarter,9,,,2,1,NONE,,,,,,,,,,,
G. Loia,5/3/2017,8:47,1,Foot,Swanquarter,10,,,3,1,NONE,,,,,,,,,,,
G. Loia,6/12/2017,8:18,2,Foot,Swanquarter,10,,,1,1,NONE,,,,,,,,,,,
G. Loia,5/3/2017,7:25,1,Foot,Swanquarter,11,,,1,0,SORA,1,1,,,,,,,,,
G. Loia,5/3/2017,7:25,1,Foot,Swanquarter,11,,,1,0,VIRA,,1,1,,,,,,,,
G. Loia,5/3/2017,7:25,1,Foot,Swanquarter,11,,,1,0,VIRA,,,,,1,,,,,,
G. Loia,6/12/2017,6:54,2,Foot,Swanquarter,11,,,1,1,VIRA,,,,,,,,,,1,
E. Caffrey,5/3/2017,7:04,1,Foot,Swanquarter,12,,,0,2,NONE,,,,,,,,,,,
A. VanVorst,6/12/2017,9:00,2,Foot,Swanquarter,12,,,1,1,VIRA,,,,,,,1,,,,
E. Caffrey,5/3/2017,9:02,1,Foot,Swanquarter,13,,,3,1,NONE,,,,,,,,,,,
E. Caffrey,5/3/2017,7:54,1,Foot,Swanquarter,14,,,1,1,SORA,,1,1,,,,,,,,
A. VanVorst,6/12/2017,7:22,2,Foot,Swanquarter,14,,,1,1,SESP,,,1,1,1,1,,,,,
A. VanVorst,6/12/2017,7:22,2,Foot,Swanquarter,14,,,1,1,SESP,,,,,,,,1,1,1,
A. VanVorst,6/12/2017,7:22,2,Foot,Swanquarter,14,,,1,1,SESP,,,,,,,,,1,,
G. Loia,5/3/2017,8:09,1,Foot,Swanquarter,15,,,2,1,KCRA,,,,,,,,,,1,
G. Loia,6/12/2017,7:36,2,Foot,Swanquarter,15,,,1,1,LEBI,,,,1,,,,,,,
G. Loia,6/12/2017,7:36,2,Foot,Swanquarter,15,,,1,1,KCRA,,,,,,,,,,1,
G. Loia,5/3/2017,9:25,1,Foot,Swanquarter,16,,,4,2,LEBI,,,,,,,,1,,,
G. Loia,6/12/2017,9:03,2,Foot,Swanquarter,16,,,1,1,KCRA,,,,,,,,,1,,
A. VanVorst,6/16/2017,9:00,1,Foot,Gull Rock,19,,,1,1,NONE,,,,,,,,,,,
G. Loia,6/16/2017,9:00,2,Foot,Gull Rock,19,,,1,1,NONE,,,,,,,,,,,
G. Loia,4/18/2017,7:28,1,Foot,Long Shoal,25,,,2,1,KCRA,,,,,1,,,,,,
G. Loia,6/5/2017,7:53,2,Foot,Long Shoal,25,,,3,1,NONE,,,,,,,,,,,
A. VanVorst,6/5/2017,7:53,3,Foot,Pamlico,25,,,3,1,NONE,,,,,,,,,,,
E. Caffrey,4/13/2017,8:41,2,Foot,Long Shoal,28,,,3,1,VIRA,,1,,1,,,,,,,
E. Caffrey,4/13/2017,8:41,2,Foot,Long Shoal,28,,,3,1,VIRA,,,,1,,,,,,,
E. Caffrey,4/13/2017,8:41,2,Foot,Long Shoal,28,,,3,1,VIRA,,,,,,1,,,1,1,
E. Caffrey,4/13/2017,8:41,2,Foot,Long Shoal,28,,,3,1,VIRA,,,,,,,,1,,,
G. Loia,4/13/2017,8:41,1,Foot,Long Shoal,28,,,3,1,VIRA,,1,,,,,,,,,
G. Loia,4/13/2017,8:41,1,Foot,Long Shoal,28,,,3,1,VIRA,,,,1,,,,,,,
G. Loia,4/13/2017,8:41,1,Foot,Long Shoal,28,,,3,1,VIRA,,,,,,1,,,1,1,
G. Loia,4/13/2017,8:41,1,Foot,Long Shoal,28,,,3,1,VIRA,,,,,,,,1,,,
G. Loia,4/17/2017,7:23,1,Foot,Long Shoal,29,,,4,2,SESP,1,1,,,,,,,,,
G. Loia,4/17/2017,7:23,1,Foot,Long Shoal,29,,,4,2,SESP,,,,,,,,1,,,
G. Loia,6/13/2017,7:49,2,Foot,Long Shoal,29,,,3,1,KCRA,,,1,1,,,,,,,
E. Caffrey,4/18/2017,7:17,1,Foot,Long Shoal,30,,,2,0,SORA,,,,,,1,1,,,,
G. Loia,6/5/2017,8:59,2,Foot,Long Shoal,30,,,4,2,NONE,,,,,,,,,,,
A. VanVorst,6/5/2017,8:59,3,Foot,Pamlico,30,,,3,1,NONE,,,,,,,,,,,
G. Loia,4/17/2017,7:55,1,Foot,Long Shoal,33,,,4,2,KCRA,,,,,,,,,1,1,
G. Loia,6/13/2017,6:58,2,Foot,Long Shoal,33,,,2,1,KCRA,,,,,,,1,,,,
G. Loia,6/13/2017,6:58,2,Foot,Long Shoal,33,,,2,1,KCRA,,,,,,1,,,,,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,CLRA,,,,,1,,,,,1,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,34,,,1,1,CLRA,1,1,,,1,,,,1,1,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,KIRA,,1,,,,1,,1,1,,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,SESP,1,1,,,1,,,,,,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,SESP,1,1,,1,,,1,,,,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,SESP,,,1,,1,,,,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,34,,,1,1,SESP,1,,,,,,1,,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,34,,,1,1,SESP,,1,,1,,,,,,,
E. Caffrey,4/13/2017,7:47,2,Foot,Long Shoal,34,,,1,1,VIRA,,1,,,1,,,,1,,
E. Caffrey,4/13/2017,7:06,2,Foot,Long Shoal,35,,,1,1,CLRA,,,,,1,,,,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,35,,,1,1,CLRA,1,,,,,,,,,,
E. Caffrey,4/13/2017,7:06,2,Foot,Long Shoal,35,,,1,1,SESP,1,1,1,1,1,,,,,,
E. Caffrey,4/13/2017,8:06,2,Foot,Long Shoal,35,,,1,1,SESP,1,1,1,,,1,1,1,,,
E. Caffrey,4/13/2017,9:06,2,Foot,Long Shoal,35,,,1,1,SESP,1,1,,1,,1,1,,,1,
E. Caffrey,4/13/2017,7:06,2,Foot,Long Shoal,35,,,1,1,SESP,,,1,,,,,,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,35,,,1,1,SESP,1,1,1,1,,,,1,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,35,,,1,1,SESP,1,1,1,,,1,,,,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,35,,,1,1,SESP,,,1,,,,,,,,
E. Caffrey,4/13/2017,7:06,2,Foot,Long Shoal,35,,,1,1,VIRA,1,,,,,,,,,,
E. Caffrey,4/13/2017,7:06,2,Foot,Long Shoal,35,,,1,1,VIRA,,1,1,,,1,,,1,,
G. Loia,4/13/2017,7:47,1,Foot,Long Shoal,35,,,1,1,VIRA,,1,,,,,,,,,
E. Caffrey,4/13/2017,9:23,2,Foot,Long Shoal,36,,,4,2,CLRA,,,,,,,,,,1,
G. Loia,4/13/2017,9:23,1,Foot,Long Shoal,36,,,4,2,NONE,,,,,,,,,,,AMBI flushed during veg survey
E. Caffrey,4/19/2017,8:23,2,Foot,Mashoes,37,,,3,1,BLRA,,,,,,1,,,,,
G. Loia,4/19/2017,8:23,1,Foot,Mashoes,37,,,3,2,BLRA,,,,,,1,,,,,
E. Caffrey,4/26/2017,6:30,1,Foot,Mashoes,38,,,2,1,NONE,,,,,,,,,,,
G. Loia,4/26/2017,6:30,2,Foot,Mashoes,38,,,2,1,NONE,,,,,,,,,,,
A. VanVorst,6/7/2017,7:22,3,Foot,Mashoes,38,,,4,1,NONE,,,,,,,,,,,
G. Loia,5/1/2017,7:23,1,Foot,Mashoes,39,,,1,1,NONE,,,,,,,,,,,
E. Caffrey,5/1/2017,7:23,2,Foot,Mashoes,39,,,1,1,NONE,,,,,,,,,,,
G. Loia,5/1/2017,6:44,1,Foot,Mashoes,40,,,3,1,NONE,,,,,,,,,,,
E. Caffrey,5/1/2017,6:44,2,Foot,Mashoes,40,,,1,1,NONE,,,,,,,,,,,
E. Caffrey,4/26/2017,9:10,1,Foot,Mashoes,42,,,1,1,NONE,,,,,,,,,,,
G. Loia,4/26/2017,9:10,2,Foot,Mashoes,42,,,2,1,NONE,,,,,,,,,,,
A. VanVorst,6/7/2017,6:42,3,Foot,Mashoes,42,,,4,1,SESP,,,1,1,,,,,,,
A. VanVorst,6/7/2017,6:42,3,Foot,Mashoes,42,,,4,1,SESP,,,,,,,,1,1,,
E. Caffrey,5/9/2017,6:36,1,Boat,Deep Bay,45,,,0,0,NONE,,,,,,,,,,,
G. Loia,5/9/2017,6:36,2,Boat,Deep Bay,45,,,0,0,NONE,,,,,,,,,,,
E. Caffrey,5/9/2017,9:08,1,Foot,Deep Bay,46,,,0,0,NONE,,,,,,,,,,,
G. Loia,5/9/2017,9:08,2,Foot,Deep Bay,46,,,0,0,NONE,,,,,,,,,,,
E. Caffrey,5/9/2017,7:32,1,Foot,Deep Bay,47,,,0,0,NONE,,,,,,,,,,,
G. Loia,5/9/2017,7:32,2,Foot,Deep Bay,47,,,1,0,NONE,,,,,,,,,,,
E. Caffrey,5/9/2017,8:16,1,Foot,Deep Bay,48,,,1,0,NONE,,,,,,,,,,,
G. Loia,5/9/2017,8:16,2,Foot,Deep Bay,48,,,1,0,NONE,,,,,,,,,,,
E. Caffrey,5/17/2017,8:09,1,Foot,ICW,56,,,1,3,NONE,,,,,,,,,,,
G. Loia,5/17/2017,8:09,1,Foot,ICW,56,,,1,3,NONE,,,,,,,,,,,
A. VanVorst,6/21/2017,6:39,1,Foot,ICW,57,,,2,1,NONE,,,,,,,,,,,
G. Loia,6/21/2017,6:39,2,Foot,ICW,57,,,2,1,NONE,,,,,,,,,,,
G. Loia,6/21/2017,7:20,2,Foot,ICW,58,,,2,1,NONE,,,,,,,,,,,
A. VanVorst,6/21/2017,7:20,1,Foot,ICW ,58,,,2,1,NONE,,,,,,,,,,,
A. VanVorst,6/19/2017,8:29,1,Foot,ICW,60,,,3,1,NONE,,,,,,,,,,,
G. Loia,6/19/2017,8:29,2,Foot,ICW,60,,,3,1,VIRA,,,,,,,,,,1,Strong gusts during survey
A. VanVorst,6/19/2017,7:43,1,Foot,ICW,62,,,2,1,VIRA,,,,,,,,,,1,
G. Loia,6/19/2017,7:43,2,Foot,ICW,62,,,2,1,VIRA,,,,,,,,,,1,
E. Caffrey,4/19/2017,7:00,1,Foot,Point Peter Rd,63,,,3,2,NONE,,,,,,,,,,,
G. Loia,5/11/2017,8:04,2,Foot,Point Peter Rd,63,,,2,1,NONE,,,,,,,,,,,
G. Loia,4/19/2017,7:06,1,Foot,Peter Point Rd.,65,,,4,2,KCRA,,,,,,,,,,1,
E. Caffrey,5/11/2017,8:00,2,Foot,Point Peter Rd,65,,,2,1,NONE,,,,,,,,,,,VIRA on way to point
E. Caffrey,4/21/2017,9:12,1,Foot,Point Peter Rd,66,,,3,1,NONE,,,,,,,,,,,
G. Loia,4/21/2017,9:12,2,Foot,Point Peter Rd,66,,,3,1,NONE,,,,,,,,,,,
E. Caffrey,4/21/2017,8:19,1,Foot,Point Peter Rd,67,,,2,1,NONE,,,,,,,,,,,
G. Loia,4/21/2017,9:12,2,Foot,Point Peter Rd,67,,,2,1,NONE,,,,,,,,,,,
G. Loia,5/11/2017,8:04,2,Foot,Point Peter Rd,67,,,2,1,NONE,,,,,,,,,,,
E. Caffrey,5/11/2017,6:47,1,Foot,Point Peter Rd,68,,,4,2,NONE,,,,,,,,,,,
G. Loia,5/11/2017,8:04,2,Foot,Point Peter Rd,68,,,4,2,NONE,,,,,,,,,,,
G. Loia,4/20/2017,9:09,1,Foot,Roanoke Marsh,69,,,1,1,SESP,,,1,1,1,,1,,,,
G. Loia,4/20/2017,9:09,1,Foot,Roanoke Marsh,69,,,1,1,SORA,,,,,1,,,,,,
G. Loia,5/24/2017,8:04,2,Foot,Roanoke Marsh,69,,,2,2,KCRA,,,,,,,,1,,1,
G. Loia,5/24/2017,8:04,2,Foot,Roanoke Marsh,69,,,2,2,SESP,,1,,1,1,1,,,,,
G. Loia,5/24/2017,8:04,2,Foot,Roanoke Marsh,69,,,2,2,SESP,,1,,1,,,,,1,,
G. Loia,5/24/2017,8:04,2,Foot,Roanoke Marsh,69,,,2,2,SESP,,,1,1,,,,,,,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,KCRA,,,,,,,,,1,,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,LEBI,,,,,,,1,,,,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,SESP,1,,1,1,1,,,,,1,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,SESP,,,,,1,,1,,,,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,SESP,,,,,,,,1,,,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,SESP,,,,,,,,,1,1,
G. Loia,4/20/2017,8:33,1,Foot,Roanoke Marsh,70,,,2,2,VIRA,,1,,,,,,,,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,KCRA,,,1,,1,,1,,1,1,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,1,1,1,,1,1,1,1,,1,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,1,1,,,,1,,,,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,1,1,,1,1,1,1,1,1,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,1,1,1,,1,1,,1,1,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,,1,1,,1,,1,,,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,,1,,,,,,,,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,,1,1,,,,,,,,
G. Loia,5/24/2017,8:44,2,Foot,Roanoke Marsh,70,,,2,2,SESP,1,,,,,,,,1,,
G. Loia,4/20/2017,7:15,1,Foot,Roanoke Marsh,71,,,1,2,SESP,,1,1,,,1,,,,,
G. Loia,4/20/2017,7:15,1,Foot,Roanoke Marsh,71,,,1,2,VIRA,,,,,1,1,,,,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,KCRA,,,,,1,,,,,,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,KCRA,,,,,1,,,,,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,1,,,,,,,,1,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,1,1,1,1,,,1,1,,1,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,1,,,1,1,,,,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,1,1,1,1,1,,1,,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,1,1,,,,,1,,1,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,,,1,,,,,1,,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,,,,,1,1,,,1,
G. Loia,5/31/2017,8:57,2,Foot,Roanoke Marsh,71,,,2,2,SESP,,,,,,,,,1,,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,1,1,1,,1,1,,1,1,1,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,1,1,,,,,1,,1,,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,1,1,1,1,1,1,1,,1,1,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,,,1,1,,1,1,1,1,1,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,,,,,1,1,,,,,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,,,,,,,1,1,,,
A. VanVorst,5/31/2017,8:57,3,Foot,Roanoke Marsh,71,,,1,2,SESP,,,,,,,,1,,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,KCRA,,,,,,,,,1,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,SESP,1,1,1,1,,1,,,,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,SESP,,1,1,1,,,,1,,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,VIRA,1,1,,,,,,,,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,VIRA,,,1,,,,1,,1,,
G. Loia,4/20/2017,7:52,1,Foot,Roanoke Marsh,72,,,1,1,VIRA,,,,,,,1,,1,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,KCRA,,1,1,1,1,1,,,,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,KCRA,,1,1,1,1,1,1,1,1,1,
A. VanVorst,5/31/2017,8:14,3,Foot,Roanoke Marsh,72,,,1,2,KCRA,,1,1,1,1,,,,,,
A. VanVorst,5/31/2017,8:14,3,Foot,Roanoke Marsh,72,,,1,2,KCRA,,,1,1,1,1,1,1,1,1,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,SESP,1,,,,1,,,,,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,SESP,,1,,,,,,,,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,SESP,,,1,1,,,,,,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,SESP,,,,,,,1,,,,
G. Loia,5/31/2017,8:14,2,Foot,Roanoke Marsh,72,,,1,2,SESP,,,,,,,,,,1,
A. VanVorst,5/31/2017,8:14,3,Foot,Roanoke Marsh,72,,,1,2,SESP,1,1,,,,,1,1,,,
A. VanVorst,5/31/2017,8:14,3,Foot,Roanoke Marsh,72,,,1,2,SESP,,,1,,,,,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,KCRA,,1,1,1,1,1,,1,1,1,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,KCRA,,,,1,,1,1,1,1,1,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,KCRA,,,,,,,1,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,KCRA,,,,,,,,,1,1,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,1,1,1,1,1,1,1,1,1,1,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,1,1,1,,1,,,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,,1,,,,,,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,,,1,,,,,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,,,1,1,1,,1,,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,,,,,,,,1,,,
G. Loia,6/1/2017,7:08,1,Foot,Roanoke Marsh,73,,,2,1,SESP,,,,,,,,,,1,
A. VanVorst,6/20/2017,6:59,2,Foot,Roanoke Marsh,73,,,3,1,SESP,1,1,1,1,1,1,1,1,1,1,
A. VanVorst,6/20/2017,6:59,2,Foot,Roanoke Marsh,73,,,3,1,SESP,1,1,1,1,,1,1,1,1,1,
A. VanVorst,6/20/2017,6:59,2,Foot,Roanoke Marsh,73,,,3,1,SESP,1,1,1,,1,1,1,1,1,1,
