Observer,Date,Year,Visit,Property,PointID,Salinity,Herb_hits,Herb_height,Woody_hits,Woody_height,Bare,Wrack,Tree,Snag,Juncus,Cladium,Typha,SpartinaPatens,Phragmites,Scirpus,Distichlis ,Andropogon,Shrub/Woody,SpartinaAlternaflora,Notes,,,, 
E. Caffrey,4/18/2017,2017,1,Long Shoal,30,,1.1,0.9,1,1.5,10,4,7,9,0,0,0,0,0,0,0,0,10,,,,,,
G. Loia,4/17/2017,2017,1,Long Shoal,33,,3,0.42,0,0,9,0,0,0,0,0,0,0,0,3,6,0,0,,,,,,
G. Loia,4/13/2017,2017,1,Long Shoal,34,,9.7,0.84,0,0,7,1,0,3,0,7,0,0,0,1,2,0,0,,,,,,
E. Caffrey,4/13/2017,2017,2,Long Shoal,34,,1.7,0.35,0,0,10,0,0,0,0,0,0,4,0,3,3,0,0,,,,,,
G. Loia,4/13/2017,2017,1,Long Shoal,35,,3.1,0.44,0,0,6,0,0,0,0,0,0,1,0,0,9,0,0,,,,,,
E. Caffrey,4/13/2017,2017,2,Long Shoal,35,,3.1,0.36,0,0,9,0,0,1,0,0,0,3,0,0,7,0,0,,,,,,
G. Loia,4/13/2017,2017,1,Long Shoal,36,,1,0.41,0,0,10,0,0,0,1,0,0,0,0,2,7,0,0,,,,,,
E. Caffrey,4/13/2017,2017,2,Long Shoal,36,,1.4,0.31,0,0,10,0,0,3,0,0,0,0,0,8,2,0,0,,,,,,
G. Loia,4/19/2017,2017,1,Mashoes,37,,10.3,1.47,0.1,1.1,2,0,3,0,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/19/2017,2017,2,Mashoes,37,,9,1.5,0,0,2,0,3,1,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/26/2017,2017,1,Mashoes,38,,8.3,1.46,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,4/26/2017,2017,2,Mashoes,38,,7.9,1.39,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,5/1/2017,2017,1,Mashoes,39,,3,1.5,0,0,0,0,3,1,0,1,0,0,9,0,0,0,0,,,,,,
E. Caffrey,5/1/2017,2017,2,Mashoes,39,,9.1,1.5,0,0,0,0,6,1,0,0,0,0,10,0,0,0,0,,,,,,
G. Loia,5/1/2017,2017,1,Mashoes,40,,9.8,1.47,0,0,0,0,0,4,0,9,0,0,1,0,0,0,0,,,,,,
E. Caffrey,5/1/2017,2017,2,Mashoes,40,,10.9,1.5,0,0,0,0,3,4,0,9,0,0,1,0,0,0,0,,,,,,
E. Caffrey,4/26/2017,2017,1,Mashoes,42,,6.2,1.25,0,0,6,0,0,2,3,3,0,0,0,4,0,0,0,,,,,,
G. Loia,4/26/2017,2017,2,Mashoes,42,,4.8,1.19,0,0,4,0,0,2,4,6,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/19/2017,2017,1,Mashoes,63,,4.5,0.95,0,0,6,0,8,0,0,8,0,0,0,2,0,0,0,,,,,,
G. Loia,19-Apr,2017,1,Peter Point Rd.,65,,4.1,0.82,0,0,8,1,1,1,0,0,0,5,1,0,0,4,0,,,,,,
E. Caffrey,4/21/2017,2017,1,Point Peter Rd,66,,6.4,0.92,0.4,1,0,6,1,0,0,4,0,6,0,0,0,0,0,,,,,,
G. Loia,4/21/2017,2017,2,Point Peter Rd,66,,6.4,0.84,0.2,1.4,0,2,0,0,0,2,0,8,0,0,0,0,0,,,,,,
E. Caffrey,4/21/2017,2017,1,Point Peter Rd,67,,1.9,0.77,0,0,1,0,0,3,0,0,0,2,7,1,0,0,0,,,,,,
G. Loia,4/21/2017,2017,2,point Peter Rd,67,,1.3,0.86,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,
G. Loia,4/20/2017,2017,1,Roanoke Marsh,69,,7.1,1.33,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,4/20/2017,2017,1,Roanoke Marsh,70,,6.6,1.31,0,0,3,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,4/20/2017,2017,1,Roanoke Marsh,71,,7.3,1.35,0,0,3,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,4/20/2017,2017,1,Roanoke Marsh,72,,6.2,1.35,0,0,7,3,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,4/26/2017,2017,1,Mashoes,79,,3.2,1.17,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/26/2017,2017,1,Mashoes,80,,8.4,1.5,0,0,5,0,0,0,7,3,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/17/2017,2017,1,Long Shoal,81,,3,0.67,0,0,9,0,0,0,3,0,0,0,0,3,4,0,0,,,,,,
E. Caffrey,4/17/2017,2017,1,Long Shoal,82,,9.1,1.46,0,0,3,5,0,1,6,2,0,0,2,0,0,0,0,,,,,,
E. Caffrey,4/14/2017,2017,1,Long Shoal,83,,9,1.48,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,4/14/2017,2017,2,Long Shoal,83,,10.4,1.46,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,4/14/2017,2017,1,Long Shoal,84,,5.6,1.19,0,0,4,0,0,0,8,0,0,1,0,0,1,0,0,,,,,,
G. Loia,4/14/2017,2017,2,Long Shoal,84,,3.7,0.71,0,0,0,1,0,0,2,0,0,6,1,0,1,0,0,,,,,,
E. Caffrey,4/14/2017,2017,1,Long Shoal,85,,5,1.03,0,0,2,0,0,0,5,0,0,0,0,4,1,0,0,,,,,,
G. Loia,4/14/2017,2017,2,Long Shoal,85,,5.8,1.38,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/1/2017,2017,1,Mashoes,86,,8.4,1.47,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/1/2017,2017,2,Mashoes,86,,7.8,1.47,0,0,4,0,0,0,8,1,0,0,1,0,0,0,0,,,,,,
E. Caffrey,4/28/2017,2017,1,Swanquarter West,89,,4.7,0.66,0,0,2,0,0,2,2,0,0,8,0,0,0,0,0,,,,,,
G. Loia,4/28/2017,2017,2,Swanquarter West,89,,5.4,0.77,0,0,3,0,0,0,2,0,0,8,0,0,0,0,0,,,,,,
E. Caffrey,4/28/2017,2017,1,Swanquarter West,91,,7.5,1.09,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,,,,,,
G. Loia,4/28/2017,2017,2,Swanquarter West,91,,7.6,1.21,0,0,0,3,0,0,8,0,0,2,0,0,0,0,0,,,,,,
E. Caffrey,4/28/2017,2017,1,Swanquarter West,92,,8.1,0.95,0,0,6,0,0,0,5,0,0,3,0,1,1,0,0,,,,,,
G. Loia,4/28/2017,2017,2,Swanquarter West,92,,3.9,0.66,0,0,3,0,0,0,4,0,0,6,0,0,0,0,0,,,,,,
E. Caffrey,4/27/2017,2017,1,Swanquarter West,107,,4.4,1.16,0,0,3,2,0,0,7,0,0,2,0,1,0,0,0,,,,,,
G. Loia,4/27/2017,2017,2,Swanquarter West,107,,7,1.21,0,0,3,2,0,0,7,0,0,3,0,0,0,0,0,,,,,,
E. Caffrey,4/27/2017,2017,1,Swanquarter West,108,,6.4,1.31,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,,VIRA after vegetation survey,,,,
G. Loia,4/27/2017,2017,2,Swanquarter West,108,,7.1,1.35,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,,,,,,
E. Caffrey,4/27/2017,2017,1,Swanquarter West,109,,5.8,1.49,0,0,8,1,0,0,4,0,0,0,5,1,0,0,0,,,,,,
G. Loia,4/27/2017,2017,2,Swanquarter West,109,,8.2,1.49,0,0,7,0,0,0,6,0,0,0,4,0,0,0,0,,,,,,
G. Loia,5/5/2017,2017,1,Manns Harbor,113,,7.5,1.31,0,0,4,0,0,0,5,5,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/5/2017,2017,2,Manns Harbor,113,,3.3,1.4,0,0,3,0,0,0,2,,0,0,5,3,0,0,0,,,,,,
E. Caffrey,4/10/2017,2017,1,Long Shoal,130,,6.3,1.24,0,0,9,1,0,1,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,4/10/2017,2017,1,Long Shoal,131,,3.3,0.9,0,0,10,0,0,0,2,7,0,1,0,0,0,0,0,,,,,,
E. Caffrey,4/10/2017,2017,1,Long Shoal,132,,2.7,0.53,0,0,0,0,0,1,2,1,0,0,0,0,7,0,0,,,,,,
G. Loia,4/10/2017,2017,1,Long Shoal,133,,3.9,0.6,0,0,2,0,0,0,4,0,0,0,0,0,6,0,0,,,,,,
G. Loia,5/8/2017,2017,1,Manns Harbor,114,,6.1,1.06,0,0,2,4,0,0,7,2,0,0,0,1,0,0,0,,,,,,
G. Loia,5/8/2017,2017,1,Manns Harbor,115,,4.6,1.12,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,,,,,,
G. Loia,5/8/2017,2017,1,Manns Harbor,117,,2.3,0.8,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,
E. Caffrey,5/8/2017,2017,2,Manns Harbor,114,,7.5,1.41,0,0,2,1,0,0,4,5,0,0,0,1,0,0,0,,,,,,
E. Caffrey,5/8/2017,2017,2,Manns Harbor,115,,5.9,1.36,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,,,,,,
E. Caffrey,5/8/2017,2017,2,Manns Harbor,117,,1.75,0.77,0,0,1,0,0,0,1,0,0,0,1,8,0,0,0,,,,,,
E. Caffrey,5/9/2017,2017,1,Deep Bay,45,,3.29,1.24,0,0,0,4,3,2,0,1,4,0,2,0,0,0,2,,,,,,
E. Caffrey,5/9/2017,2017,1,Deep Bay,46,,8.4,1.46,0,0,0,2,4,8,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/9/2017,2017,1,Deep Bay,47,,7.5,1.47,0,0,0,4,8,3,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/9/2017,2017,1,Deep Bay,48,,6.2,1.4,0,0,0,3,8,0,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,5/9/2017,2017,2,Deep Bay,45,,3,1.26,0,0,0,4,2,1,0,2,3,0,2,0,0,0,0,,,,,,
G. Loia,5/9/2017,2017,2,Deep Bay,46,,6.9,1.42,0,0,2,1,3,8,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,5/9/2017,2017,2,Deep Bay,47,,5.6,1.37,0,0,0,2,9,5,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,5/9/2017,2017,2,Deep Bay,48,,7.3,1.36,0.1,1.5,2,2,8,2,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/10/2017,2017,2,Long Shoal,133,,2.7,0.44,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,,,,,,
E. Caffrey,5/10/2017,2017,2,Long Shoal,131,,3.6,0.95,0,0,9,0,0,0,1,7,0,0,0,2,0,0,0,,,,,,
E. Caffrey,5/11/2017,2017,1,point Peter Rd,68,,1.6,0.86,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,,,,,,
E. Caffrey,5/11/2017,2017,2,point Peter Rd,65,,5.5,0.93,0,0,1,1,1,0,0,0,2,7,1,0,0,0,0,,,,,,
E. Caffrey,5/15/2017,2017,1,Gull Rock,5,,6.6,1.04,0,0,3,2,0,0,4,3,0,2,0,1,0,0,0,,,,,,
E. Caffrey,5/15/2017,2017,1,Gull Rock,1,,4.2,1.18,0,0,1,2,0,0,4,0,0,0,0,6,0,0,0,,,,,,
E. Caffrey,5/15/2017,2017,1,Gull Rock,2,,5.7,1.35,0,0,1,6,0,0,8,0,0,0,0,1,1,0,0,,,,,,
E. Caffrey,5/15/2017,2017,1,Gull Rock,111,,6.9,1.5,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/16/2017,2017,1,Juniper Bay,101,,6,1.38,0,0,7,2,0,0,8,0,0,0,0,2,0,0,0,,,,,,
E. Caffrey,5/16/2017,2017,1,Juniper Bay,99,,5,0.77,0,0,1,0,0,0,1,0,0,7,0,1,1,0,0,,,,,,
E. Caffrey,5/16/2017,2017,1,Juniper Bay,100,,4.4,0.78,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,,,,,,
E. Caffrey,5/16/2017,2017,1,Juniper Bay,98,,4.9,0.67,0,0,0,1,0,0,1,0,0,7,0,0,1,0,1,,,,,,
E. Caffrey,5/17/2017,2017,1,ICW,56,,6.4,1.48,0,0,8,0,6,1,0,9,0,0,1,0,0,0,0,,,,,,
G. Loia,5/10/2017,2017,2,Long Shoal,130,,3.6,1.03,0,0,4,0,0,0,0,5,0,2,0,0,3,0,0,,,,,,
G. Loia,5/10/2017,2017,2,Long Shoal,132,,1.6,0.26,0,0,4,0,0,1,0,0,0,0,0,0,10,0,0,,,,,,
G. Loia,5/17/2017,2017,2,ICW,56,,4.1,1.33,0,0,5,0,2,0,0,2,7,0,0,0,0,0,0,,,,,,
G. Loia,5/16/2017,2017,2,Juniper Bay,98,,4.8,0.9,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,,,,,,
G. Loia,5/16/2017,2017,2,Juniper Bay,101,,5.7,1.39,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/16/2017,2017,2,Juniper Bay,99,,4.7,0.61,0.4,1.45,0,0,0,0,0,0,0,8,0,2,0,0,0,,,,,,
G. Loia,5/16/2017,2017,2,Juniper Bay,100,,4,0.69,0,0,5,0,0,0,0,0,0,7,0,2,0,0,0,,,,,,
G. Loia,5/15/2017,2017,2,Gull Rock,111,,5,1.12,0,0,2,0,0,0,7,0,0,0,0,0,3,0,0,,VIRA calling during veg survey,,,,
G. Loia,5/15/2017,2017,2,Gull Rock,5,,4.3,0.8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,0,,,,,,
G. Loia,5/15/2017,2017,2,Gull Rock,1,,4.4,1.21,0,0,0,4,0,0,8,0,0,0,0,2,0,0,0,,,,,,
G. Loia,5/15/2017,2017,2,Gull Rock,2,,6.2,1.38,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/11/2017,2017,2,point Peter Rd,63,,5.2,0.83,0,0,5,0,4,0,0,0,0,6,0,0,0,4,0,,,,,,
G. Loia,5/11/2017,2017,2,point Peter Rd,67,,3.7,1.14,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,,,,,,
G. Loia,5/11/2017,2017,2,point Peter Rd,68,,2.3,1.01,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,
E. Caffrey,5/18/2017,2017,3,Long Shoal,133,,3.4,0.64,0,0,2,0,0,0,0,0,0,4,0,6,0,0,0,,,,,,
E. Caffrey,5/18/2017,2017,3,Long Shoal,131,,3.9,1,0,0,10,0,0,1,1,9,0,0,0,0,0,0,0,,,,,,
G. Loia,5/18/2017,2017,3,Long Shoal,130,,6.1,0.99,0,0,9,0,0,0,0,8,0,0,0,0,2,0,0,,,,,,
G. Loia,5/18/2017,2017,3,Long Shoal,132,,1.9,0.3,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,,,,,,
G. Loia,5/22/2017,2017,1,Roanoke Marsh,75,,4.4,0.96,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/22/2017,2017,1,Roanoke Marsh,76,,3.1,0.85,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/22/2017,2017,1,Roanoke Marsh,77,,2.4,0.8,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/24/2017,2017,2,Roanoke Marsh,70,,7.2,1.33,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/24/2017,2017,2,Roanoke Marsh,69,,5.8,1.13,0,0,0,1,0,1,9,0,0,1,0,0,0,0,0,,,,,,
G. Loia,5/25/2017,2017,3,Manns Harbor,114,,6,1.24,0,0,1,1,0,0,7,0,0,0,0,2,1,0,0,,,,,,
G. Loia,5/25/2017,2017,3,Manns Harbor,113,,4.2,1.33,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,,,,,,
A. VanVorst,5/29/2017,2017,2,Mashoes,79,,6.1,1.32,0,0,2,0,0,0,3,5,0,0,0,2,0,0,0,,,,,,
A. VanVorst,5/29/2017,2017,2,Mashoes,80,,5.4,1.48,0,0,4,0,0,0,5,0,0,0,1,0,0,0,0,,,,,,
G. Loia,5/26/2017,2017,2,Roanoke Marsh,77,,3.4,6.9,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/29/2017,2017,3,Mashoes,79,,4.9,1.33,0,0,8,1,0,0,6,2,0,0,0,2,0,0,0,,,,,,
G. Loia,5/29/2017,2017,3,Mashoes,80,,6.6,1.44,0,0,1,0,0,0,7,1,0,0,1,0,0,0,0,,,,,,
G. Loia,5/31/2017,2017,2,Roanoke Marsh,71,,4.6,1.26,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/31/2017,2017,2,Roanoke Marsh,72,,4.5,1.18,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,5/31/2017,2017,1,Roanoke Marsh,74,,7,1.46,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,5/31/2017,2017,3,Roanoke Marsh,71,,5.9,1.37,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,5/31/2017,2017,3,Roanoke Marsh,72,,5.2,1.4,0,0,6,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,5/31/2017,2017,2,Roanoke Marsh,74,,5,1.47,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/1/2017,2017,2,Roanoke Marsh,75,,4.6,1.04,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/1/2017,2017,2,Roanoke Marsh,76,,3.1,0.86,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/1/2017,2017,1,Roanoke Marsh,78,,7.9,1.46,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/1/2017,2017,1,Roanoke Marsh,73,,6.8,1.38,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/7/2017,2017,3,Mashoes,86,,7.4,1.45,0,0,4,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/6/2017,2017,3,Manns Harbor,115,,5,1.28,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,,,,,,
G. Loia,6/5/2017,2017,2,Long Shoal,30,,4,1.41,0,1.67,9,0,0,7,0,6,0,0,0,0,0,1,2,,,,,,
G. Loia,6/5/2017,2017,2,Long Shoal,25,,2.6,1.16,1.3,1.26,7,,6,4,0,0,1,0,1,2,0,0,6,,,,,,
G. Loia,6/14/2017,2017,1,Pungo,120,,6.1,1.27,0,0,1,0,0,0,2,0,1,0,2,5,0,0,0,,,,,,
G. Loia,6/14/2017,2017,1,Pungo,119,,7.7,1.5,0,0,0,1,0,0,8,0,0,0,2,0,0,0,0,,,,,,
G. Loia,6/14/2017,2017,1,Pungo,121,,4.9,1.13,0.9,0.7,0,1,0,0,3,5,0,0,0,0,0,0,2,,,,,,
G. Loia,6/14/2017,2017,1,Pungo,122,,8.2,1.5,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,,,,,,
G. Loia,6/14/2017,2017,1,Pungo,118,,5.4,1.33,0.1,1.5,0,0,4,0,0,0,0,0,8,1,0,0,0,,One spot was dominated by Alligator weed,,,,
G. Loia,6/13/2017,2017,2,Long Shoal,29,,5.9,1.2,0.3,1.18,5,0,0,1,3,6,0,0,0,0,0,0,0,,,,,,
G. Loia,6/13/2017,2017,2,Long Shoal,33,,7.3,1.42,0,0,1,1,0,0,9,0,0,0,1,0,0,0,0,,,,,,
G. Loia,6/12/2017,2017,2,Swanquarter,16,,2.6,0.83,0,0,10,0,0,0,3,3,0,0,0,3,0,0,0,,,,,,
G. Loia,6/12/2017,2017,2,Swanquarter,15,,7.8,1.37,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,6/12/2017,2017,2,Swanquarter,10,,4.7,6.9,0.3,1.2,4,0,0,0,0,4,0,3,0,0,3,0,0,,,,,,
G. Loia,6/12/2017,2017,2,Swanquarter,11,,4.5,1.21,0,0,9,0,0,2,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,6/12/2017,2017,2,Swanquarter,9,,4.7,1.11,0.4,1.5,3,0,0,2,4,0,0,0,0,0,2,0,3,,,,,,
G. Loia,6/9/2017,2017,2,Swanquarter,93,,5.2,1.26,0,0,0,0,0,0,4,0,0,1,4,0,11,0,0,,,,,,
G. Loia,6/15/2017,2017,1,Pungo,124,,7.3,1.25,0,0,0,0,0,0,4,0,0,1,0,4,1,0,0,,,,,,
G. Loia,6/15/2017,2017,1,Pungo,125,,11.7,1.5,0,0,0,4,0,0,1,0,5,0,0,4,0,0,0,,,,,,
G. Loia,6/15/2017,2017,1,Pungo,123,,8.1,1.46,0.3,1.5,0,0,0,0,3,0,3,0,0,0,0,0,0,,4 spots were dominated by a grass similar to broomsedge (listed as unknown 1 on data sheet),,,,
A. VanVorst,6/6/2017,2017,3,Manns Harbor,117,,3,1.11,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,,,,,,
A. VanVorst,6/5/2017,2017,3,Pamlico,30,,7.5,1.3,1,0.7875,6,0,1,8,0,0,0,0,0,1,0,1,8,,,,,,
A. VanVorst,6/5/2017,2017,3,Pamlico,25,,1.33,0.76,1.42,1.141,6,0,7,7,0,0,1,0,0,0,2,0,7,,,,,,
A. VanVorst,6/7/2017,2017,3,Mashoes,38,,8.8,1.5,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/7/2017,2017,3,Mashoes,42,,6.1,1.48,0,0,1,0,2,1,1,8,0,0,0,1,0,0,0,,,,,,
A. VanVorst,6/9/2017,2017,2,Swanquarter,93,,9.2,1.35,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,,,,,,
A. VanVorst,6/12/2017,2017,2,Swanquarter,12,,1.13,1.5,0,0,0,0,5,6,0,10,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/12/2017,2017,2,Swanquarter,14,,5.8,1.18,0,0,4,0,8,8,0,5,0,1,0,2,0,0,2,,,,,,
A. VanVorst,6/13/2017,2017,2,Long Shoal,82,,6.4,1.5,0,0,4,0,0,0,0,2,2,0,0,6,0,0,0,,,,,,
A. VanVorst,6/13/2017,2017,2,Long Shoal,81,,11.13,1.5,8,1.25,2,0,0,0,0,3,0,0,0,4,0,0,2,,,,,,
A. VanVorst,6/14/2017,2017,2,Pungo,120,,4.5,1.01,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,,,,,,
A. VanVorst,6/15/2017,2017,2,Pungo,123,,8.4,1.35,0,0,0,0,0,0,3,0,5,0,1,1,0,0,0,,,,,,
A. VanVorst,6/15/2017,2017,2,Pungo,125,,9.2,1.33,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,,,,,,
A. VanVorst,6/14/2017,2017,2,Pungo,119,,7.5,1.42,0,0,1,1,0,0,5,0,3,0,0,2,0,0,0,,,,,,
A. VanVorst,6/14/2017,2017,2,Pungo,121,,7.4,1.08,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/14/2017,2017,2,Pungo,122,,13.6,1.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/15/2017,2017,2,Pungo,124,,8.4,1.26,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,,,,,,
A. VanVorst,6/14/2017,2017,2,Pungo,118,,6.9,1.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,
A. VanVorst,6/16/2017,2017,2,Gull Rock,8,,12.33,1.5,3,0.5,0,0,0,0,0,7,0,0,2,0,0,0,1,,,,,,
A. VanVorst,6/16/2017,2017,1,Gull Rock,112,,7.7,1.36,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/16/2017,2017,1,Gull Rock,19,,9.7,1.44,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,,,,,
A. VanVorst,6/19/2017,2017,1,ICW,87,,4.8,1.12,0,0,2,0,0,0,0,1,2,0,0,7,0,0,0,,,,,,
A. VanVorst,6/19/2017,2017,1,ICW,62,,6.3,1.39,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,,,,,,
A. VanVorst,6/19/2017,2017,1,ICW,60,,6.9,1.27,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0,,,,,,
A. VanVorst,6/20/2017,2017,2,Roanoke Marsh,73,,5.1,1.34,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,,,,,,
G. Loia,6/19/2017,2017,2,ICW,60,,5.3,1.24,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,,,,,,
